Date,Campaign Name,Channel,Spend ($),Impressions,Clicks,Conversions
2023-01-01,Holiday Sale,Email,942,17282,807,32
2023-01-02,Spring Discount,Search,599,11716,644,16
2023-01-04,Halloween Sale,Search,503,9634,477,15
2023-01-06,Holiday Sale,Search,477,11360,658,25
2023-01-08,Halloween Sale,Social,409,8617,464,16
2023-01-10,New Year Sale,Search,804,13893,698,26
2023-01-11,Halloween Sale,Social,103,529,28,0
2023-01-13,Valentine's Promo,Email,283,8040,380,6
2023-01-15,New Year Sale,Email,328,7191,289,11
2023-01-17,Summer Sale,Search,222,2856,181,6
2023-01-19,Back to School,Search,700,13546,704,36
2023-01-21,Back to School,Social,668,13359,708,37
2023-01-22,Back to School,Social,671,16365,862,35
2023-01-24,Easter Sale,Search,598,15739,756,27
2023-01-26,Halloween Sale,Social,509,11378,573,23
2023-01-28,Valentine's Promo,Email,537,10792,490,14
2023-01-30,Spring Discount,Social,980,17734,886,26
2023-02-01,Summer Sale,Social,680,10753,435,18
2023-02-02,Valentine's Promo,Search,897,17959,946,35
2023-02-04,Spring Discount,Search,410,6997,345,12
2023-02-06,Easter Sale,Search,399,8155,449,17
2023-02-08,Easter Sale,Email,659,13025,660,22
2023-02-10,New Year Sale,Social,620,7569,347,10
2023-02-12,New Year Sale,Email,346,3758,156,10
2023-02-13,Summer Sale,Social,609,14356,731,28
2023-02-15,Easter Sale,Email,215,5524,252,15
2023-02-17,Spring Discount,Search,856,18479,992,39
2023-02-19,Back to School,Social,557,9150,558,33
2023-02-21,Spring Discount,Email,855,16424,782,34
2023-02-23,Halloween Sale,Social,450,12325,586,30
2023-02-24,Easter Sale,Search,877,15510,752,32
2023-02-26,Easter Sale,Email,881,17169,823,39
2023-02-28,Valentine's Promo,Search,371,8996,507,20
2023-03-02,Back to School,Search,993,19623,911,37
2023-03-04,Valentine's Promo,Email,642,14204,764,25
2023-03-06,New Year Sale,Social,177,3320,203,11
2023-03-07,New Year Sale,Email,822,15120,676,17
2023-03-09,Holiday Sale,Social,284,6385,295,16
2023-03-11,New Year Sale,Email,387,3720,194,4
2023-03-13,Halloween Sale,Social,248,4979,237,4
